Const1,Const2,Const3,Chip,Multiplier,Total
E,L0,L4,4,1.6,3440.0
E,L0,L4,6,1.8,3870.0
E,L0,L4,9,2.0,4300.0
E,L0,L4,12,2.2,4730.0
E,L0,L4,16,2.4,5160.0
E,L0,L4,20,2.6,5590.0
E,L0,L4,25,2.8,6020.0
E,L0,L4,30,3.0,6450.0
E,L0,L4,36,3.2,6880.0
E,L0,L4,42,3.4,7310.0
E,L0,L4,48,3.6,7740.0
E,L0,Y,0,1.0,1500.0
E,L0,Y,1,1.2,1800.0
E,L0,Y,2,1.4,2100.0
E,L0,Y,4,1.6,2400.0
E,L0,Y,6,1.8,2700.0
E,L0,Y,9,2.0,3000.0
E,L0,Y,12,2.2,3300.0000000000005
E,L0,Y,16,2.4,3600.0
E,L0,Y,20,2.6,3900.0
E,L0,Y,25,2.8,4200.0
E,L0,Y,30,3.0,4500.0
E,L0,Y,36,3.2,4800.0
E,L0,Y,42,3.4,5100.0
E,L0,Y,48,3.6,5400.0
E,L1,L1,0,1.0,1800.0
E,L1,L1,1,1.2,2160.0
E,L1,L1,2,1.4,2520.0
E,L1,L1,4,1.6,2880.0
E,L1,L1,6,1.8,3240.0
E,L1,L1,9,2.0,3600.0
E,L1,L1,12,2.2,3960.0000000000005
E,L1,L1,16,2.4,4320.0
E,L1,L1,20,2.6,4680.0
E,L1,L1,25,2.8,5040.0
E,L1,L1,30,3.0,5400.0
E,L1,L1,36,3.2,5760.0
E,L1,L1,42,3.4,6120.0
E,L1,L1,48,3.6,6480.0
E,L1,L2,0,1.0,1950.0
E,L1,L2,1,1.2,2340.0
E,L1,L2,2,1.4,2730.0
E,L1,L2,4,1.6,3120.0
E,L1,L2,6,1.8,3510.0
E,L1,L2,9,2.0,3900.0
E,L1,L2,12,2.2,4290.0
E,L1,L2,16,2.4,4680.0
E,L1,L2,20,2.6,5070.0
E,L1,L2,25,2.8,5460.0
E,L1,L2,30,3.0,5850.0
E,L1,L2,36,3.2,6240.0
E,L1,L2,42,3.4,6630.0
E,L1,L2,48,3.6,7020.0
E,L1,L3,0,1.0,2100.0
E,L1,L3,1,1.2,2520.0
E,L1,L3,2,1.4,2940.0
E,L1,L3,4,1.6,3360.0
E,L1,L3,6,1.8,3780.0
E,L1,L3,9,2.0,4200.0
E,L1,L3,12,2.2,4620.0
E,L1,L3,16,2.4,5040.0
E,L1,L3,20,2.6,5460.0
E,L1,L3,25,2.8,5880.0
E,L1,L3,30,3.0,6300.0
E,L1,L3,36,3.2,6720.0
E,L1,L3,42,3.4,7140.0
E,L1,L3,48,3.6,7560.0
E,L1,L4,0,1.0,2250.0
E,L1,L4,1,1.2,2700.0
E,L1,L4,2,1.4,3150.0
E,L1,L4,4,1.6,3600.0
E,L1,L4,6,1.8,4050.0
E,L1,L4,9,2.0,4500.0
E,L1,L4,12,2.2,4950.0
E,L1,L4,16,2.4,5400.0
E,L1,L4,20,2.6,5850.0
E,L1,L4,25,2.8,6300.0
E,L1,L4,30,3.0,6750.0
E,L1,L4,36,3.2,7200.0
E,L1,L4,42,3.4,7650.0
E,L1,L4,48,3.6,8100.0
E,L1,Y,0,1.0,1600.0
E,L1,Y,1,1.2,1920.0
E,L1,Y,2,1.4,2240.0
E,L1,Y,4,1.6,2560.0
E,L1,Y,6,1.8,2880.0
E,L1,Y,9,2.0,3200.0
E,L1,Y,12,2.2,3520.0000000000005
E,L1,Y,16,2.4,3840.0
E,L1,Y,20,2.6,4160.0
E,L1,Y,25,2.8,4480.0
E,L1,Y,30,3.0,4800.0
E,L1,Y,36,3.2,5120.0
E,L1,Y,42,3.4,5440.0
E,L1,Y,48,3.6,5760.0
E,L2,L2,0,1.0,2100.0
E,L2,L2,1,1.2,2520.0
E,L2,L2,2,1.4,2940.0
E,L2,L2,4,1.6,3360.0
E,L2,L2,6,1.8,3780.0
E,L2,L2,9,2.0,4200.0
E,L2,L2,12,2.2,4620.0
E,L2,L2,16,2.4,5040.0
E,L2,L2,20,2.6,5460.0
E,L2,L2,25,2.8,5880.0
E,L2,L2,30,3.0,6300.0
E,L2,L2,36,3.2,6720.0
E,L2,L2,42,3.4,7140.0
E,L2,L2,48,3.6,7560.0
E,L2,L3,0,1.0,2250.0
E,L2,L3,1,1.2,2700.0
E,L2,L3,2,1.4,3150.0
E,L2,L3,4,1.6,3600.0
E,L2,L3,6,1.8,4050.0
E,L2,L3,9,2.0,4500.0
E,L2,L3,12,2.2,4950.0
E,L2,L3,16,2.4,5400.0
E,L2,L3,20,2.6,5850.0
E,L2,L3,25,2.8,6300.0
E,L2,L3,30,3.0,6750.0
E,L2,L3,36,3.2,7200.0
E,L2,L3,42,3.4,7650.0
E,L2,L3,48,3.6,8100.0
E,L2,L4,0,1.0,2400.0
E,L2,L4,1,1.2,2880.0
E,L2,L4,2,1.4,3360.0
E,L2,L4,4,1.6,3840.0
E,L2,L4,6,1.8,4320.0
E,L2,L4,9,2.0,4800.0
E,L2,L4,12,2.2,5280.0
E,L2,L4,16,2.4,5760.0
E,L2,L4,20,2.6,6240.0
E,L2,L4,25,2.8,6720.0
E,L2,L4,30,3.0,7200.0
E,L2,L4,36,3.2,7680.0
E,L2,L4,42,3.4,8160.0
E,L2,L4,48,3.6,8640.0
E,L2,Y,0,1.0,1750.0
E,L2,Y,1,1.2,2100.0
E,L2,Y,2,1.4,2450.0
E,L2,Y,4,1.6,2800.0
E,L2,Y,6,1.8,3150.0
E,L2,Y,9,2.0,3500.0
E,L2,Y,12,2.2,3850.0000000000005
E,L2,Y,16,2.4,4200.0
E,L2,Y,20,2.6,4550.0
E,L2,Y,25,2.8,4900.0
E,L2,Y,30,3.0,5250.0
E,L2,Y,36,3.2,5600.0
E,L2,Y,42,3.4,5950.0
E,L2,Y,48,3.6,6300.0
E,L3,L3,0,1.0,2400.0
E,L3,L3,1,1.2,2880.0
E,L3,L3,2,1.4,3360.0
E,L3,L3,4,1.6,3840.0
E,L3,L3,6,1.8,4320.0
E,L3,L3,9,2.0,4800.0
E,L3,L3,12,2.2,5280.0
E,L3,L3,16,2.4,5760.0
E,L3,L3,20,2.6,6240.0
E,L3,L3,25,2.8,6720.0
E,L3,L3,30,3.0,7200.0
E,L3,L3,36,3.2,7680.0
E,L3,L3,42,3.4,8160.0
E,L3,L3,48,3.6,8640.0
E,L3,L4,0,1.0,2550.0
E,L3,L4,1,1.2,3060.0
E,L3,L4,2,1.4,3570.0
E,L3,L4,4,1.6,4080.0
E,L3,L4,6,1.8,4590.0
E,L3,L4,9,2.0,5100.0
E,L3,L4,12,2.2,5610.0
E,L3,L4,16,2.4,6120.0
E,L3,L4,20,2.6,6630.0
E,L3,L4,25,2.8,7140.0
E,L3,L4,30,3.0,7650.0
E,L3,L4,36,3.2,8160.0
E,L3,L4,42,3.4,8670.0
E,L3,L4,48,3.6,9180.0
E,L3,Y,0,1.0,1900.0
E,L3,Y,1,1.2,2280.0
E,L3,Y,2,1.4,2660.0
E,L3,Y,4,1.6,3040.0
E,L3,Y,6,1.8,3420.0
E,L3,Y,9,2.0,3800.0
E,L3,Y,12,2.2,4180.0
E,L3,Y,16,2.4,4560.0
E,L3,Y,20,2.6,4940.0
E,L3,Y,25,2.8,5320.0
E,L3,Y,30,3.0,5700.0
E,L3,Y,36,3.2,6080.0
E,L3,Y,42,3.4,6460.0
E,L3,Y,48,3.6,6840.0
E,L4,L4,0,1.0,2700.0
E,L4,L4,1,1.2,3240.0
E,L4,L4,2,1.4,3779.9999999999995
E,L4,L4,4,1.6,4320.0
E,L4,L4,6,1.8,4860.0
E,L4,L4,9,2.0,5400.0
E,L4,L4,12,2.2,5940.000000000001
E,L4,L4,16,2.4,6480.0
E,L4,L4,20,2.6,7020.0
E,L4,L4,25,2.8,7559.999999999999
E,L4,L4,30,3.0,8100.0
E,L4,L4,36,3.2,8640.0
E,L4,L4,42,3.4,9180.0
E,L4,L4,48,3.6,9720.0
E,L4,Y,0,1.0,2050.0
E,L4,Y,1,1.2,2460.0
E,L4,Y,2,1.4,2870.0
E,L4,Y,4,1.6,3280.0
E,L4,Y,6,1.8,3690.0
E,L4,Y,9,2.0,4100.0
E,L4,Y,12,2.2,4510.0
E,L4,Y,16,2.4,4920.0
E,L4,Y,20,2.6,5330.0
E,L4,Y,25,2.8,5740.0
E,L4,Y,30,3.0,6150.0
E,L4,Y,36,3.2,6560.0
E,L4,Y,42,3.4,6970.0
E,L4,Y,48,3.6,7380.0
E,Y,Y,0,1.0,1400.0
E,Y,Y,1,1.2,1680.0
E,Y,Y,2,1.4,1959.9999999999998
E,Y,Y,4,1.6,2240.0
E,Y,Y,6,1.8,2520.0
E,Y,Y,9,2.0,2800.0
E,Y,Y,12,2.2,3080.0000000000005
E,Y,Y,16,2.4,3360.0
E,Y,Y,20,2.6,3640.0
E,Y,Y,25,2.8,3919.9999999999995
E,Y,Y,30,3.0,4200.0
E,Y,Y,36,3.2,4480.0
E,Y,Y,42,3.4,4760.0
E,Y,Y,48,3.6,5040.0
L0,L0,L0,0,1.0,900.0
L0,L0,L0,1,1.2,1080.0
L0,L0,L0,2,1.4,1260.0
L0,L0,L0,4,1.6,1440.0
L0,L0,L0,6,1.8,1620.0
L0,L0,L0,9,2.0,1800.0
L0,L0,L0,12,2.2,1980.0000000000002
L0,L0,L0,16,2.4,2160.0
L0,L0,L0,20,2.6,2340.0
L0,L0,L0,25,2.8,2520.0
L0,L0,L0,30,3.0,2700.0
L0,L0,L0,36,3.2,2880.0
L0,L0,L0,42,3.4,3060.0
L0,L0,L0,48,3.6,3240.0
L0,L0,L1,0,1.0,1000.0
L0,L0,L1,1,1.2,1200.0
L0,L0,L1,2,1.4,1400.0
L0,L0,L1,4,1.6,1600.0
L0,L0,L1,6,1.8,1800.0
L0,L0,L1,9,2.0,2000.0
L0,L0,L1,12,2.2,2200.0
L0,L0,L1,16,2.4,2400.0
L0,L0,L1,20,2.6,2600.0
L0,L0,L1,25,2.8,2800.0
L0,L0,L1,30,3.0,3000.0
L0,L0,L1,36,3.2,3200.0
L0,L0,L1,42,3.4,3400.0
L0,L0,L1,48,3.6,3600.0
L0,L0,L2,0,1.0,1150.0
L0,L0,L2,1,1.2,1380.0
L0,L0,L2,2,1.4,1610.0
L0,L0,L2,4,1.6,1840.0
L0,L0,L2,6,1.8,2070.0
L0,L0,L2,9,2.0,2300.0
L0,L0,L2,12,2.2,2530.0
L0,L0,L2,16,2.4,2760.0
L0,L0,L2,20,2.6,2990.0
L0,L0,L2,25,2.8,3220.0
L0,L0,L2,30,3.0,3450.0
L0,L0,L2,36,3.2,3680.0
L0,L0,L2,42,3.4,3910.0
L0,L0,L2,48,3.6,4140.0
L0,L0,L3,0,1.0,1300.0
L0,L0,L3,1,1.2,1560.0
L0,L0,L3,2,1.4,1819.9999999999998
L0,L0,L3,4,1.6,2080.0
L0,L0,L3,6,1.8,2340.0
L0,L0,L3,9,2.0,2600.0
L0,L0,L3,12,2.2,2860.0000000000005
L0,L0,L3,16,2.4,3120.0
L0,L0,L3,20,2.6,3380.0
L0,L0,L3,25,2.8,3639.9999999999995
L0,L0,L3,30,3.0,3900.0
L0,L0,L3,36,3.2,4160.0
L0,L0,L3,42,3.4,4420.0
L0,L0,L3,48,3.6,4680.0
L0,L0,L4,0,1.0,1450.0
L0,L0,L4,1,1.2,1740.0
L0,L0,L4,2,1.4,2029.9999999999998
L0,L0,L4,4,1.6,2320.0
L0,L0,L4,6,1.8,2610.0
L0,L0,L4,9,2.0,2900.0
L0,L0,L4,12,2.2,3190.0000000000005
L0,L0,L4,16,2.4,3480.0
L0,L0,L4,20,2.6,3770.0
L0,L0,L4,25,2.8,4059.9999999999995
L0,L0,L4,30,3.0,4350.0
L0,L0,L4,36,3.2,4640.0
L0,L0,L4,42,3.4,4930.0
L0,L0,L4,48,3.6,5220.0
L0,L0,Y,0,1.0,800.0
L0,L0,Y,1,1.2,960.0
L0,L0,Y,2,1.4,1120.0
L0,L0,Y,4,1.6,1280.0
L0,L0,Y,6,1.8,1440.0
L0,L0,Y,9,2.0,1600.0
L0,L0,Y,12,2.2,1760.0000000000002
L0,L0,Y,16,2.4,1920.0
L0,L0,Y,20,2.6,2080.0
L0,L0,Y,25,2.8,2240.0
L0,L0,Y,30,3.0,2400.0
L0,L0,Y,36,3.2,2560.0
L0,L0,Y,42,3.4,2720.0
L0,L0,Y,48,3.6,2880.0
L0,L1,L1,0,1.0,1100.0
L0,L1,L1,1,1.2,1320.0
L0,L1,L1,2,1.4,1540.0
L0,L1,L1,4,1.6,1760.0
L0,L1,L1,6,1.8,1980.0
L0,L1,L1,9,2.0,2200.0
L0,L1,L1,12,2.2,2420.0
L0,L1,L1,16,2.4,2640.0
L0,L1,L1,20,2.6,2860.0
L0,L1,L1,25,2.8,3080.0
L0,L1,L1,30,3.0,3300.0
L0,L1,L1,36,3.2,3520.0
L0,L1,L1,42,3.4,3740.0
L0,L1,L1,48,3.6,3960.0
L0,L1,L2,0,1.0,1250.0
L0,L1,L2,1,1.2,1500.0
L0,L1,L2,2,1.4,1750.0
L0,L1,L2,4,1.6,2000.0
L0,L1,L2,6,1.8,2250.0
L0,L1,L2,9,2.0,2500.0
L0,L1,L2,12,2.2,2750.0
L0,L1,L2,16,2.4,3000.0
L0,L1,L2,20,2.6,3250.0
L0,L1,L2,25,2.8,3500.0
L0,L1,L2,30,3.0,3750.0
L0,L1,L2,36,3.2,4000.0
L0,L1,L2,42,3.4,4250.0
L0,L1,L2,48,3.6,4500.0
L0,L1,L3,0,1.0,1400.0
L0,L1,L3,1,1.2,1680.0
L0,L1,L3,2,1.4,1959.9999999999998
L0,L1,L3,4,1.6,2240.0
L0,L1,L3,6,1.8,2520.0
L0,L1,L3,9,2.0,2800.0
L0,L1,L3,12,2.2,3080.0000000000005
L0,L1,L3,16,2.4,3360.0
L0,L1,L3,20,2.6,3640.0
L0,L1,L3,25,2.8,3919.9999999999995
L0,L1,L3,30,3.0,4200.0
L0,L1,L3,36,3.2,4480.0
L0,L1,L3,42,3.4,4760.0
L0,L1,L3,48,3.6,5040.0
L0,L1,L4,0,1.0,1550.0
L0,L1,L4,1,1.2,1860.0
L0,L1,L4,2,1.4,2170.0
L0,L1,L4,4,1.6,2480.0
L0,L1,L4,6,1.8,2790.0
L0,L1,L4,9,2.0,3100.0
L0,L1,L4,12,2.2,3410.0000000000005
L0,L1,L4,16,2.4,3720.0
L0,L1,L4,20,2.6,4030.0
L0,L1,L4,25,2.8,4340.0
L0,L1,L4,30,3.0,4650.0
L0,L1,L4,36,3.2,4960.0
L0,L1,L4,42,3.4,5270.0
L0,L1,L4,48,3.6,5580.0
L0,L1,Y,0,1.0,900.0
L0,L1,Y,1,1.2,1080.0
L0,L1,Y,2,1.4,1260.0
L0,L1,Y,4,1.6,1440.0
L0,L1,Y,6,1.8,1620.0
L0,L1,Y,9,2.0,1800.0
L0,L1,Y,12,2.2,1980.0000000000002
L0,L1,Y,16,2.4,2160.0
L0,L1,Y,20,2.6,2340.0
L0,L1,Y,25,2.8,2520.0
L0,L1,Y,30,3.0,2700.0
L0,L1,Y,36,3.2,2880.0
L0,L1,Y,42,3.4,3060.0
L0,L1,Y,48,3.6,3240.0
L0,L2,L2,0,1.0,1400.0
L0,L2,L2,1,1.2,1680.0
L0,L2,L2,2,1.4,1959.9999999999998
L0,L2,L2,4,1.6,2240.0
L0,L2,L2,6,1.8,2520.0
L0,L2,L2,9,2.0,2800.0
L0,L2,L2,12,2.2,3080.0000000000005
L0,L2,L2,16,2.4,3360.0
L0,L2,L2,20,2.6,3640.0
L0,L2,L2,25,2.8,3919.9999999999995
L0,L2,L2,30,3.0,4200.0
L0,L2,L2,36,3.2,4480.0
L0,L2,L2,42,3.4,4760.0
L0,L2,L2,48,3.6,5040.0
L0,L2,L3,0,1.0,1550.0
L0,L2,L3,1,1.2,1860.0
L0,L2,L3,2,1.4,2170.0
L0,L2,L3,4,1.6,2480.0
L0,L2,L3,6,1.8,2790.0
L0,L2,L3,9,2.0,3100.0
L0,L2,L3,12,2.2,3410.0000000000005
L0,L2,L3,16,2.4,3720.0
L0,L2,L3,20,2.6,4030.0
L0,L2,L3,25,2.8,4340.0
L0,L2,L3,30,3.0,4650.0
L0,L2,L3,36,3.2,4960.0
L0,L2,L3,42,3.4,5270.0
L0,L2,L3,48,3.6,5580.0
L0,L2,L4,0,1.0,1700.0
L0,L2,L4,1,1.2,2040.0
L0,L2,L4,2,1.4,2380.0
L0,L2,L4,4,1.6,2720.0
L0,L2,L4,6,1.8,3060.0
L0,L2,L4,9,2.0,3400.0
L0,L2,L4,12,2.2,3740.0000000000005
L0,L2,L4,16,2.4,4080.0
L0,L2,L4,20,2.6,4420.0
L0,L2,L4,25,2.8,4760.0
L0,L2,L4,30,3.0,5100.0
L0,L2,L4,36,3.2,5440.0
L0,L2,L4,42,3.4,5780.0
L0,L2,L4,48,3.6,6120.0
L0,L2,Y,0,1.0,1050.0
L0,L2,Y,1,1.2,1260.0
L0,L2,Y,2,1.4,1470.0
L0,L2,Y,4,1.6,1680.0
L0,L2,Y,6,1.8,1890.0
L0,L2,Y,9,2.0,2100.0
L0,L2,Y,12,2.2,2310.0
L0,L2,Y,16,2.4,2520.0
L0,L2,Y,20,2.6,2730.0
L0,L2,Y,25,2.8,2940.0
L0,L2,Y,30,3.0,3150.0
L0,L2,Y,36,3.2,3360.0
L0,L2,Y,42,3.4,3570.0
L0,L2,Y,48,3.6,3780.0
L0,L3,L3,0,1.0,1700.0
L0,L3,L3,1,1.2,2040.0
L0,L3,L3,2,1.4,2380.0
L0,L3,L3,4,1.6,2720.0
L0,L3,L3,6,1.8,3060.0
L0,L3,L3,9,2.0,3400.0
L0,L3,L3,12,2.2,3740.0000000000005
L0,L3,L3,16,2.4,4080.0
L0,L3,L3,20,2.6,4420.0
L0,L3,L3,25,2.8,4760.0
L0,L3,L3,30,3.0,5100.0
L0,L3,L3,36,3.2,5440.0
L0,L3,L3,42,3.4,5780.0
L0,L3,L3,48,3.6,6120.0
L0,L3,L4,0,1.0,1850.0
L0,L3,L4,1,1.2,2220.0
L0,L3,L4,2,1.4,2590.0
L0,L3,L4,4,1.6,2960.0
L0,L3,L4,6,1.8,3330.0
L0,L3,L4,9,2.0,3700.0
L0,L3,L4,12,2.2,4070.0000000000005
L0,L3,L4,16,2.4,4440.0
L0,L3,L4,20,2.6,4810.0
L0,L3,L4,25,2.8,5180.0
L0,L3,L4,30,3.0,5550.0
L0,L3,L4,36,3.2,5920.0
L0,L3,L4,42,3.4,6290.0
L0,L3,L4,48,3.6,6660.0
L0,L3,Y,0,1.0,1200.0
L0,L3,Y,1,1.2,1440.0
L0,L3,Y,2,1.4,1680.0
L0,L3,Y,4,1.6,1920.0
L0,L3,Y,6,1.8,2160.0
L0,L3,Y,9,2.0,2400.0
L0,L3,Y,12,2.2,2640.0
L0,L3,Y,16,2.4,2880.0
L0,L3,Y,20,2.6,3120.0
L0,L3,Y,25,2.8,3360.0
L0,L3,Y,30,3.0,3600.0
L0,L3,Y,36,3.2,3840.0
L0,L3,Y,42,3.4,4080.0
L0,L3,Y,48,3.6,4320.0
L0,L4,L4,0,1.0,2000.0
L0,L4,L4,1,1.2,2400.0
L0,L4,L4,2,1.4,2800.0
L0,L4,L4,4,1.6,3200.0
L0,L4,L4,6,1.8,3600.0
L0,L4,L4,9,2.0,4000.0
L0,L4,L4,12,2.2,4400.0
L0,L4,L4,16,2.4,4800.0
L0,L4,L4,20,2.6,5200.0
L0,L4,L4,25,2.8,5600.0
L0,L4,L4,30,3.0,6000.0
L0,L4,L4,36,3.2,6400.0
L0,L4,L4,42,3.4,6800.0
L0,L4,L4,48,3.6,7200.0
L0,L4,Y,0,1.0,1350.0
L0,L4,Y,1,1.2,1620.0
L0,L4,Y,2,1.4,1889.9999999999998
L0,L4,Y,4,1.6,2160.0
L0,L4,Y,6,1.8,2430.0
L0,L4,Y,9,2.0,2700.0
L0,L4,Y,12,2.2,2970.0000000000005
L0,L4,Y,16,2.4,3240.0
L0,L4,Y,20,2.6,3510.0
L0,L4,Y,25,2.8,3779.9999999999995
L0,L4,Y,30,3.0,4050.0
L0,L4,Y,36,3.2,4320.0
L0,L4,Y,42,3.4,4590.0
L0,L4,Y,48,3.6,4860.0
L0,Y,Y,0,1.0,700.0
L0,Y,Y,1,1.2,840.0
L0,Y,Y,2,1.4,979.9999999999999
L0,Y,Y,4,1.6,1120.0
L0,Y,Y,6,1.8,1260.0
L0,Y,Y,9,2.0,1400.0
L0,Y,Y,12,2.2,1540.0000000000002
L0,Y,Y,16,2.4,1680.0
L0,Y,Y,20,2.6,1820.0
L0,Y,Y,25,2.8,1959.9999999999998
L0,Y,Y,30,3.0,2100.0
L0,Y,Y,36,3.2,2240.0
L0,Y,Y,42,3.4,2380.0
L0,Y,Y,48,3.6,2520.0
L1,L1,L1,0,1.0,1200.0
L1,L1,L1,1,1.2,1440.0
L1,L1,L1,2,1.4,1680.0
L1,L1,L1,4,1.6,1920.0
L1,L1,L1,6,1.8,2160.0
L1,L1,L1,9,2.0,2400.0
L1,L1,L1,12,2.2,2640.0
L1,L1,L1,16,2.4,2880.0
L1,L1,L1,20,2.6,3120.0
L1,L1,L1,25,2.8,3360.0
L1,L1,L1,30,3.0,3600.0
L1,L1,L1,36,3.2,3840.0
L1,L1,L1,42,3.4,4080.0
L1,L1,L1,48,3.6,4320.0
L1,L1,L2,0,1.0,1350.0
L1,L1,L2,1,1.2,1620.0
L1,L1,L2,2,1.4,1889.9999999999998
L1,L1,L2,4,1.6,2160.0
L1,L1,L2,6,1.8,2430.0
L1,L1,L2,9,2.0,2700.0
L1,L1,L2,12,2.2,2970.0000000000005
L1,L1,L2,16,2.4,3240.0
L1,L1,L2,20,2.6,3510.0
L1,L1,L2,25,2.8,3779.9999999999995
L1,L1,L2,30,3.0,4050.0
L1,L1,L2,36,3.2,4320.0
L1,L1,L2,42,3.4,4590.0
